season,round,driver_id,decision_lap,historical_pit_lap_ACTUAL,recommended_pit_lap_SIMULATED,recommended_window_SIMULATED,lap_difference,historical_lap_in_recommended_window
2024,1,max_verstappen,14,17,24,"[23, 25]",7,False
2024,1,sergio_perez,9,12,24,"[23, 25]",12,False
2024,1,carlos_sainz,11,14,24,"[23, 25]",10,False
2024,1,charles_leclerc,8,11,20,"[19, 21]",9,False
2024,1,george_russell,8,11,20,"[19, 21]",9,False
2024,1,lando_norris,10,13,24,"[23, 25]",11,False
2024,1,lewis_hamilton,9,12,24,"[23, 25]",12,False
2024,1,oscar_piastri,9,12,24,"[23, 25]",12,False
2024,1,fernando_alonso,12,15,24,"[23, 25]",9,False
2024,1,lance_stroll,6,9,20,"[19, 21]",11,False
2024,1,guanyu_zhou,6,9,20,"[19, 21]",11,False
2024,1,kevin_magnussen,8,11,20,"[19, 21]",9,False
2024,1,daniel_ricciardo,10,13,20,"[19, 21]",7,False
2024,1,yuki_tsunoda,11,14,20,"[19, 21]",6,False
2024,1,alexander_albon,12,15,20,"[19, 21]",5,False
2024,1,esteban_ocon,7,10,20,"[19, 21]",10,False
2024,1,pierre_gasly,9,12,20,"[19, 21]",8,False
2024,1,valtteri_bottas,9,12,20,"[19, 21]",8,False
2024,1,logan_sargeant,7,10,20,"[19, 21]",10,False
2024,2,max_verstappen,4,7,19,"[18, 20]",12,False
2024,2,sergio_perez,4,7,19,"[18, 20]",12,False
2024,2,charles_leclerc,4,7,19,"[18, 20]",12,False
2024,2,oscar_piastri,4,7,19,"[18, 20]",12,False
2024,2,fernando_alonso,4,7,19,"[18, 20]",12,False
2024,2,george_russell,4,7,19,"[18, 20]",12,False
2024,2,oliver_bearman,4,7,19,"[18, 20]",12,False
2024,2,lando_norris,34,37,34,"[34, 35]",-3,False
2024,2,lewis_hamilton,33,36,33,"[33, 34]",-3,False
2024,2,nico_hulkenberg,30,33,30,"[30, 31]",-3,False
2024,2,alexander_albon,4,7,19,"[18, 20]",12,False
2024,2,kevin_magnussen,4,7,19,"[18, 20]",12,False
2024,2,esteban_ocon,4,7,19,"[18, 20]",12,False
2024,2,logan_sargeant,4,7,19,"[18, 20]",12,False
2024,2,yuki_tsunoda,4,7,19,"[18, 20]",12,False
2024,2,daniel_ricciardo,4,7,19,"[18, 20]",12,False
2024,2,valtteri_bottas,4,7,19,"[18, 20]",12,False
2024,2,guanyu_zhou,38,41,38,"[38, 39]",-3,False
2024,3,carlos_sainz,13,16,16,"[15, 17]",0,True
2024,3,charles_leclerc,6,9,16,"[15, 17]",7,False
2024,3,lando_norris,11,14,16,"[15, 17]",2,False
2024,3,oscar_piastri,6,9,16,"[15, 17]",7,False
2024,3,sergio_perez,11,14,16,"[15, 17]",2,False
2024,3,lance_stroll,5,8,16,"[15, 17]",8,False
2024,3,yuki_tsunoda,6,9,16,"[15, 17]",7,False
2024,3,fernando_alonso,14,17,16,"[15, 17]",-1,True
2024,3,nico_hulkenberg,14,17,16,"[15, 17]",-1,True
2024,3,kevin_magnussen,4,7,4,"[4, 5]",-3,False
2024,3,alexander_albon,3,6,3,"[3, 4]",-3,False
